0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.00691132	5.19994	0	6.95327e-310	6.9529e-310
0.714343	0.588512	7.07429	-1.84217e-17	2.0743e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.000345566	0.0138215	5.19975	0.00179686	6.95327e-310	7.7486
1.16102	0.493478	7.07668	-0.0688151	-0.00828624	1.17385	0.481073	1.11998	0.600225	5.19943	0.00103664	0.0207296	5.19943	0.00538996	0.0249749	7.7486
1.27665	0.513682	7.07176	0.192032	0.0388485	0.969149	0.397513	1.37996	0.600629	5.19899	0.00207312	0.0276344	5.19898	0.0107781	0.0249749	1.31807
1.61358	0.594653	7.09102	0.245144	0.0531429	1.65063	0.62469	1.6399	0.601347	5.19842	0.00345484	0.0345348	5.19839	0.0179597	0.000411786	1.31807
1.82135	0.569772	6.33588	0.093607	-0.057697	1.62331	0.499091	1.89982	0.60247	5.19773	0.00518158	0.0414297	5.19766	0.0269323	0.000411786	1.58135
2.15299	0.616067	6.35043	0.108325	-0.0296255	2.18882	0.648739	2.1597	0.604086	5.19691	0.00725307	0.0483182	5.19678	0.0376932	0.000190855	1.58135
2.36901	0.643373	5.59345	0.0896503	-0.214076	1.96701	0.557117	2.41954	0.606284	5.19597	0.00966898	0.0551989	5.19573	0.0502389	0.000190855	0.41704
2.6478	0.666364	5.59607	0.0781087	-0.218121	2.65526	0.66598	2.67932	0.609155	5.19491	0.0124289	0.062071	5.1945	0.0645654	2.95284e-06	0.41704
2.91489	0.656243	5.51176	0.0204214	-0.418894	2.92034	0.645898	2.93904	0.612786	5.19372	0.0155325	0.0689333	5.19309	0.080668	2.95284e-06	0.0120236
3.15008	0.653641	5.46891	0.00482067	-0.392419	3.01222	0.637046	3.19869	0.617267	5.19241	0.0189791	0.0757847	5.19147	0.0985415	0.000891991	0.0120236
3.43791	0.545875	5.50532	-0.158333	-0.877824	3.56096	0.485311	3.45825	0.622685	5.19097	0.0227684	0.0826241	5.18963	0.11818	0.000891991	0.00367661
3.74289	0.430718	5.57865	-0.289078	-1.1436	3.89365	0.311793	3.71772	0.62913	5.18942	0.0268996	0.0894504	5.18754	0.139576	0.00217994	0.00367661
4.02237	0.516832	5.54096	-0.143213	-0.569823	4.19786	0.698311	3.97708	0.636689	5.18775	0.0313721	0.0962627	5.18519	0.162724	0.00217994	0.0379514
4.29639	0.508036	5.52315	-0.137759	-0.485736	4.30935	0.578564	4.23632	0.645449	5.18595	0.0361852	0.10306	5.18256	0.187614	0.000378437	0.0379514
4.55616	0.54448	5.43436	-0.095473	-0.33767	4.61908	0.68951	4.49542	0.655498	5.18405	0.0413382	0.10984	5.17962	0.214238	0.000378437	0.00463128
4.74262	0.654275	5.2596	0.0121538	-0.0676054	4.35143	0.899174	4.75437	0.666921	5.18202	0.0468302	0.116604	5.17634	0.242587	0.0112681	0.00463128
4.99469	0.652771	5.19216	0.00276145	-0.081466	5.20901	0.66599	5.01315	0.679804	5.17988	0.0526604	0.123349	5.1727	0.272649	0.0112681	0.0193503
